epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1416.76,2.04277,3.9099,1.34801,0.7695,0.66963,0.73873,0.4252,1.50126,2.05894,1.13215,0.000332492,0.000332492,0.000332492
2,3824.12,1.47536,1.61923,1.07474,0.91562,0.83662,0.91413,0.5818,1.2563,1.07727,1.03822,0.000643853,0.000643853,0.000643853
3,6231.5,1.39075,1.15357,1.04582,0.95438,0.84989,0.94038,0.62164,1.20335,0.87104,1.01684,0.000933214,0.000933214,0.000933214
4,9039.01,1.31999,0.97187,1.01391,0.95073,0.87256,0.94912,0.60737,1.24194,0.7793,1.02052,0.000901,0.000901,0.000901
5,11870.4,1.27522,0.88453,0.99929,0.94814,0.90271,0.95573,0.62606,1.20611,0.7265,1.00763,0.000868,0.000868,0.000868
6,14722.4,1.23548,0.81504,0.98523,0.95293,0.9313,0.96894,0.65256,1.17141,0.64466,0.99045,0.000835,0.000835,0.000835
7,17634.4,1.21483,0.77237,0.97849,0.96743,0.92216,0.97379,0.66823,1.13699,0.64284,0.97909,0.000802,0.000802,0.000802
8,22453.5,1.18813,0.73806,0.96949,0.97055,0.93787,0.97911,0.67438,1.11804,0.60563,0.97023,0.000769,0.000769,0.000769
9,24353.4,1.17556,0.72063,0.9606,0.9697,0.94706,0.97775,0.6832,1.10361,0.59781,0.97144,0.000736,0.000736,0.000736
10,25677.2,1.1549,0.70053,0.96087,0.96754,0.95702,0.98344,0.6916,1.08108,0.56888,0.96085,0.000703,0.000703,0.000703
11,27275,1.13513,0.67691,0.95329,0.96708,0.95816,0.98506,0.70565,1.04384,0.54447,0.94925,0.00067,0.00067,0.00067
12,30659.4,1.12587,0.65875,0.94667,0.9727,0.95261,0.98326,0.68928,1.08825,0.54641,0.96089,0.000637,0.000637,0.000637
13,32900.6,1.10575,0.64291,0.93903,0.97199,0.95992,0.98567,0.70771,1.04299,0.52559,0.94706,0.000604,0.000604,0.000604
14,35324.6,1.09497,0.62314,0.93655,0.96205,0.9608,0.98311,0.68377,1.12585,0.53876,0.96842,0.000571,0.000571,0.000571
15,38203.1,1.07799,0.60924,0.93474,0.97528,0.95115,0.98503,0.70602,1.06615,0.52437,0.95181,0.000538,0.000538,0.000538
16,41213.1,1.07716,0.60793,0.93163,0.97529,0.96631,0.98723,0.71096,1.0328,0.50546,0.94309,0.000505,0.000505,0.000505
17,42940.1,1.05662,0.5925,0.92498,0.96259,0.96937,0.98689,0.69857,1.08088,0.51641,0.95187,0.000472,0.000472,0.000472
18,44299.4,1.04653,0.58335,0.92356,0.9735,0.96914,0.98707,0.70605,1.04878,0.49636,0.94617,0.000439,0.000439,0.000439
19,45399.1,1.03913,0.57546,0.9202,0.97507,0.96687,0.98978,0.73133,0.99782,0.47916,0.9356,0.000406,0.000406,0.000406
20,46498.9,1.02692,0.55968,0.92073,0.97459,0.9722,0.99034,0.7326,0.9986,0.47617,0.9338,0.000373,0.000373,0.000373
21,47636.7,0.98843,0.51425,0.93001,0.97201,0.97449,0.98949,0.73359,0.99267,0.47035,0.93229,0.00034,0.00034,0.00034
22,48759.4,0.96217,0.49384,0.92408,0.97695,0.97206,0.9899,0.73881,0.98184,0.46339,0.92936,0.000307,0.000307,0.000307
23,49863.7,0.95865,0.48849,0.92324,0.97661,0.97946,0.99035,0.74281,0.97886,0.44794,0.92677,0.000274,0.000274,0.000274
24,50953.9,0.94753,0.48272,0.91728,0.97795,0.97715,0.99071,0.73898,0.98879,0.4479,0.9276,0.000241,0.000241,0.000241
25,52041.8,0.93363,0.471,0.91209,0.97806,0.9771,0.99039,0.75237,0.94893,0.4315,0.92081,0.000208,0.000208,0.000208
26,53215.3,0.92846,0.46179,0.91203,0.97932,0.97388,0.99047,0.75386,0.94704,0.43562,0.91808,0.000175,0.000175,0.000175
27,56067.4,0.91222,0.45562,0.90684,0.97601,0.9802,0.9908,0.75765,0.94284,0.42947,0.91592,0.000142,0.000142,0.000142
28,57426.2,0.89941,0.44835,0.9024,0.97695,0.98024,0.9902,0.75719,0.94108,0.42283,0.91576,0.000109,0.000109,0.000109
29,58638.6,0.8934,0.43863,0.89892,0.98193,0.97387,0.99007,0.76005,0.93427,0.41918,0.91432,7.6e-05,7.6e-05,7.6e-05
30,60408.6,0.88669,0.43744,0.89739,0.98083,0.97667,0.99067,0.76192,0.92794,0.41535,0.91244,4.3e-05,4.3e-05,4.3e-05
